transaction_id,account_id,employee_id,transaction_date,transaction_type,channel,amount,balance_after
TXN0000266,ACC000030,,2025-06-08 20:18:00,Consignacion,App movil,1900204.77,27988.52
TXN0002166,ACC000233,EMP010,2025-07-07 06:38:00,Compra con tarjeta,Sucursal,3159073.57,2687431.89
TXN0001993,ACC000216,,2026-01-27 18:06:00,Deposito,Cajero automatico,3197365.62,3032710.2
TXN0000932,ACC000109,,2025-10-13 10:05:00,Transferencia enviada,App movil,3481753.17,19190709.99
TXN0001124,ACC000125,,2025-02-23 15:02:00,Deposito,Datafono,2672857.13,22752249.53
TXN0001003,ACC000113,EMP018,2026-02-28 08:31:00,Pago de cuota,Sucursal,2408804.07,22243940.88
TXN0000870,ACC000101,,2025-01-11 19:43:00,Transferencia enviada,Datafono,3264220.55,11996602.13
TXN0001384,ACC000154,,2026-04-19 14:48:00,Compra con tarjeta,Cajero automatico,1154524.61,16533433.69
TXN0000337,ACC000037,,2025-10-19 11:29:00,Deposito,Datafono,1267058.38,2337225.93
TXN0002157,ACC000231,EMP001,2025-11-15 08:13:00,Deposito,Sucursal,909781.08,3851689.43
TXN0000704,ACC000079,,2025-03-11 12:57:00,Pago de servicios,Datafono,449675.88,8891226.46
TXN0000485,ACC000050,,2026-01-05 18:09:00,Compra con tarjeta,Banca web,1300008.59,314647.87
TXN0000780,ACC000092,,2025-07-30 07:58:00,Transferencia recibida,Cajero automatico,2807066.81,15205499.31
TXN0001047,ACC000118,,2025-12-22 15:45:00,Deposito,Datafono,1015045.43,2365121.74
TXN0000736,ACC000086,,2026-06-09 10:55:00,Transferencia recibida,Banca web,804248.94,11866211.91
TXN0000475,ACC000047,,2026-03-28 14:23:00,Deposito,Cajero automatico,725992.21,16642176.51
TXN0001319,ACC000142,,2026-01-01 21:29:00,Deposito,Datafono,3195331.74,21001028.62
TXN0002124,ACC000226,EMP022,2026-01-24 20:53:00,Deposito,Sucursal,78212.61,10903432.35
TXN0000950,ACC000109,,2025-12-10 06:15:00,Retiro,App movil,578033.81,1642325.99
TXN0000012,ACC000001,,2026-02-19 20:35:00,Consignacion,Datafono,881985.67,2556664.64
TXN0001387,ACC000154,,2025-12-19 12:40:00,Transferencia recibida,Datafono,1425742.42,11335307.93
TXN0002132,ACC000226,,2026-04-10 08:36:00,Deposito,Banca web,3139804.72,17333404.36
TXN0000503,ACC000052,EMP008,2025-04-27 19:29:00,Deposito,Sucursal,2867768.16,11993160.56
TXN0000694,ACC000079,,2025-07-19 16:05:00,Transferencia recibida,Datafono,2828778.46,24452609.32
TXN0000370,ACC000040,EMP022,2025-01-31 08:30:00,Transferencia enviada,Sucursal,1680495.78,7063611.65
TXN0000082,ACC000010,,2025-12-06 17:16:00,Retiro,Datafono,1036238.41,11768708.83
TXN0000079,ACC000010,,2025-08-16 21:58:00,Transferencia enviada,App movil,1780528.85,21017560.98
TXN0002162,ACC000231,,2026-05-31 12:35:00,Compra con tarjeta,App movil,3387178.79,20007046.28
TXN0000889,ACC000104,EMP008,2026-03-16 12:30:00,Transferencia enviada,Sucursal,668454.8,5742310.96
TXN0000591,ACC000062,,2026-05-26 09:56:00,Retiro,App movil,100607.97,9860303.37
TXN0000546,ACC000057,,2025-03-03 12:23:00,Transferencia enviada,Banca web,525625.47,18663373.58
TXN0001330,ACC000143,,2025-07-06 21:00:00,Consignacion,App movil,3127851.53,12399740.3
TXN0000264,ACC000030,,2026-03-25 15:34:00,Transferencia enviada,Banca web,672317.67,13595077.4
TXN0001014,ACC000115,EMP025,2025-03-07 20:10:00,Pago de servicios,Sucursal,2058173.66,15101013.56
TXN0000698,ACC000079,,2026-06-17 13:04:00,Retiro,Datafono,2172287.28,15637465.45
TXN0000917,ACC000106,,2025-07-04 15:01:00,Transferencia enviada,App movil,578586.08,20439305.03
TXN0000768,ACC000091,,2026-02-09 19:07:00,Compra con tarjeta,Cajero automatico,756092.15,8090962.02
TXN0000214,ACC000023,,2025-07-31 13:12:00,Compra con tarjeta,Cajero automatico,2928808.14,3908329.26
TXN0002129,ACC000226,,2025-07-27 15:35:00,Pago de cuota,Cajero automatico,1328943.06,3991047.26
TXN0000340,ACC000037,,2026-02-28 12:44:00,Retiro,Cajero automatico,2146067.57,14288463.22
TXN0001037,ACC000118,,2025-04-19 10:14:00,Consignacion,App movil,1355659.36,21697791.09
TXN0001592,ACC000168,,2025-10-27 10:52:00,Pago de cuota,Banca web,2368230.33,9014618.03
TXN0000180,ACC000020,,2025-12-05 09:30:00,Transferencia enviada,Banca web,1681783.86,16185008.26
TXN0000504,ACC000052,,2025-11-16 17:08:00,Compra con tarjeta,Banca web,3115145.08,4313456.92
TXN0000944,ACC000109,EMP001,2025-06-09 07:56:00,Deposito,Sucursal,1766501.03,9915803.35
TXN0001288,ACC000139,EMP022,2026-03-18 19:48:00,Consignacion,Sucursal,1951973.81,24742109.19
TXN0001103,ACC000123,,2025-09-15 18:45:00,Transferencia enviada,App movil,247155.34,24203189.3
TXN0000629,ACC000067,EMP009,2025-02-12 09:10:00,Transferencia enviada,Sucursal,3189340.34,18211448.46
TXN0000850,ACC000098,EMP014,2025-09-20 07:05:00,Transferencia enviada,Sucursal,1278823.15,10582052.67
TXN0002014,ACC000217,,2026-06-11 09:02:00,Pago de cuota,Cajero automatico,102992.49,13850545.34
TXN0000523,ACC000056,,2025-10-13 10:49:00,Pago de servicios,Banca web,387047.97,12238641.13
TXN0000802,ACC000093,,2026-03-04 19:41:00,Transferencia enviada,App movil,2568317.4,4418268.43
TXN0000994,ACC000112,,2026-02-05 12:39:00,Pago de cuota,Banca web,2901639.15,3230472.91
TXN0001877,ACC000203,,2025-08-14 16:42:00,Transferencia recibida,Datafono,3178431.45,22464062.28
TXN0001498,ACC000159,,2026-05-14 16:39:00,Deposito,Datafono,1861752.51,16907973.32
TXN0001599,ACC000170,,2026-02-09 18:14:00,Pago de cuota,Datafono,1235458.91,17198145.54
TXN0001724,ACC000188,EMP003,2025-07-16 17:04:00,Pago de servicios,Sucursal,2945513.52,9745081.14
TXN0000207,ACC000023,EMP014,2026-05-31 15:21:00,Pago de servicios,Sucursal,3067634.53,17357854.62
TXN0002202,ACC000237,,2025-06-25 08:22:00,Consignacion,Datafono,2752010.45,18072507.09
TXN0000957,ACC000110,,2025-06-14 16:28:00,Compra con tarjeta,Cajero automatico,1193182.27,15590534.47
TXN0001174,ACC000129,,2025-12-24 21:33:00,Transferencia recibida,Cajero automatico,3073834.88,21877226.43
TXN0000201,ACC000023,EMP001,2025-06-29 21:28:00,Pago de servicios,Sucursal,2978481.05,4876714.9
TXN0001213,ACC000132,,2025-06-06 09:46:00,Pago de servicios,Cajero automatico,987149.51,14095857.54
TXN0002217,ACC000238,,2025-02-18 19:16:00,Deposito,Banca web,697674.67,8617414.37
TXN0000648,ACC000068,EMP013,2026-02-26 08:05:00,Consignacion,Sucursal,3110897.45,5377462.21
TXN0001390,ACC000154,,2025-12-17 14:04:00,Deposito,App movil,1498535.67,24119191.21
TXN0000655,ACC000068,,2025-05-27 10:50:00,Pago de servicios,Datafono,1481931.82,22227539.58
TXN0000757,ACC000091,EMP004,2026-06-03 07:29:00,Consignacion,Sucursal,2239644.52,9535077.64
TXN0002227,ACC000238,,2025-02-07 20:27:00,Pago de servicios,Banca web,3429141.01,15120432.43
TXN0002167,ACC000233,EMP004,2026-05-21 15:46:00,Retiro,Sucursal,3114296.42,23776539.32
TXN0001397,ACC000154,,2025-10-13 07:25:00,Pago de cuota,App movil,1370305.67,22344674.92
TXN0000092,ACC000011,,2025-05-18 16:57:00,Transferencia recibida,Banca web,1263785.59,4130438.89
TXN0002214,ACC000237,,2025-08-01 07:17:00,Transferencia enviada,Cajero automatico,774371.14,3273306.81
TXN0000933,ACC000109,,2025-12-28 16:31:00,Pago de cuota,Banca web,1689697.04,15047560.45
TXN0001081,ACC000122,,2025-08-29 14:52:00,Retiro,Datafono,2387808.36,10814518.93
TXN0001812,ACC000197,,2025-04-06 14:16:00,Transferencia enviada,App movil,1925686.93,1110023.87
